,Submission ID,Respondent ID,Submitted at,What is your age?,What is your ZIP code?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,Where do you typically drink coffee? (At home),Where do you typically drink coffee? (At the office),Where do you typically drink coffee? (On the go),Where do you typically drink coffee? (At a cafe),Where do you typically drink coffee? (None of these),How do you brew coffee at home?,How do you brew coffee at home? (Pour over),How do you brew coffee at home? (French press),How do you brew coffee at home? (Espresso),How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee)),How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso)),How do you brew coffee at home? (Instant coffee),How do you brew coffee at home? (Bean-to-cup machine),How do you brew coffee at home? (Cold brew),How do you brew coffee at home? (Coffee extract (e.g. Cometeer)),How do you brew coffee at home? (Other),How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?","On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin))","On the go, where do you typically purchase coffee? (Local cafe)","On the go, where do you typically purchase coffee? (Drive-thru)","On the go, where do you typically purchase coffee? (Specialty coffee shop)","On the go, where do you typically purchase coffee? (Deli or supermarket)","On the go, where do you typically purchase coffee? (Other)",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,Do you usually add anything to your coffee? (No - just black),"Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer)",Do you usually add anything to your coffee? (Sugar or sweetener),Do you usually add anything to your coffee? (Flavor syrup),Do you usually add anything to your coffee? (Other),What else do you add to your coffee?,What kind of dairy do you add?,What kind of dairy do you add? (Whole milk),What kind of dairy do you add? (Skim milk),What kind of dairy do you add? (Half and half),What kind of dairy do you add? (Coffee creamer),What kind of dairy do you add? (Flavored coffee creamer),What kind of dairy do you add? (Oat milk),What kind of dairy do you add? (Almond milk),What kind of dairy do you add? (Soy milk),What kind of dairy do you add? (Other),What kind of sugar or sweetener do you add?,What kind of sugar or sweetener do you add? (Granulated Sugar),"What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda))",What kind of sugar or sweetener do you add? (Honey),What kind of sugar or sweetener do you add? (Maple Syrup),What kind of sugar or sweetener do you add? (Stevia),What kind of sugar or sweetener do you add? (Agave Nectar),What kind of sugar or sweetener do you add? (Brown Sugar),What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado)),What kind of flavorings do you add?,What kind of flavorings do you add? (Vanilla Syrup),What kind of flavorings do you add? (Caramel Syrup),What kind of flavorings do you add? (Hazelnut Syrup),What kind of flavorings do you add? (Cinnamon (Ground or Stick)),What kind of flavorings do you add? (Peppermint Syrup),What kind of flavorings do you add? (Other),What other flavoring do you use?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee A - Notes,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee B - Notes,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee C - Notes,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,Coffee D - Notes,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Why do you drink coffee? (It tastes good),Why do you drink coffee? (I need the caffeine),Why do you drink coffee? (I need the ritual),Why do you drink coffee? (It makes me go to the bathroom),Why do you drink coffee? (Other),Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Gender (please specify),Marital Status,Household Income,Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
2998,j2vy5k,4kgkvo,10/22/23 16:21,25-34 years old,17601,2,"on the go, at home",,,,,,other,,,,,,,,,,,aeropress,other,,,,,,,gas station,latte,no answer,"milk, dairy alternative, or coffee creamer",,,,,,no answer,oat milk,,,,,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,chocolatey,medium,medium,full caffeine,,,,,"basic, simple, enjoyed with milk",,,,no answer,,,,no answer,,,,summer berries,coffee c,coffee d,coffee c,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer
2999,j2vyvx,rdrdgq,10/22/23 16:22,25-34 years old,80124,1,at home,,,,,,"espresso, pour over",,,,,,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,cappuccino,no answer,"milk, dairy alternative, or coffee creamer, no - just black",,,,,,no answer,whole milk,,,,,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,sweet,medium,medium,full caffeine,,,,,pear,,,,"milk chocolate, hint of berry",,,,"dark chocolate, wood",,,,mixed berries,coffee a,coffee d,coffee d,i primarily work from home,$40-$60,"it tastes good, i need the ritual",,,,,,no answer,yes,yes,$6-$8,more than $20,no,"more than $1,000",no,male,no answer,married,"$150,000 or more",bachelor's degree,white/caucasian,no answer,employed full-time,none,democrat
3000,7djq9r,xj6jzr,10/22/23 16:22,35-44 years old,20785,2,"at home, at the office, at a cafe",,,,,,"espresso, other, french press",,,,,,,,,,,aeropress,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,latte,no answer,"milk, dairy alternative, or coffee creamer, no - just black",,,,,,no answer,"whole milk, half and half, oat milk",,,,,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,chocolatey,somewhat strong,medium,full caffeine,,,,,"very slightly fruity but roasted too dark.
apples + chocolate bitterness.
mismatched flavors, not awful, but by far the least liked in the group.",,,,"dark roast but well balanced, thicker mouth-feel.
slightly nutty, but overall lacking any complexity/any specific notes.
boring but easy drinking.",,,,"when hot: dark roasty notes, the ""strongest"" tasting in the group.
when cooler: acidity jumped up and gained some crisp fruity notes, but only some.
most reminding of chain (starbucks/dunkin) or diner coffee.",,,,"very fruity and juicy.  light and complex.
cherry, honey crisp apple, light mouth-feel, finishes with lingering dryness.",coffee b,coffee d,coffee a,i primarily work in person,$60-$80,"it tastes good, i need the caffeine",,,,,,no answer,yes,yes,$8-$10,$8-$10,no,"more than $1,000",yes,male,no answer,married,"$150,000 or more",master's degree,white/caucasian,no answer,employed full-time,none,independent
3001,0ebxqy,4kgkbx,10/22/23 16:22,25-34 years old,91762,2,no answer,no answer,no answer,no answer,no answer,no answer,"pour over, cold brew, other",,,,,,,,,,,aeropress,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,regular drip coffee,no answer,no - just black,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,juicy,medium,light,full caffeine,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer
3002,7djqoz,roqoyp,10/22/23 16:22,25-34 years old,20010,2,"at home, at a cafe, on the go, at the office",,,,,,pour over,,,,,,,,,,,no answer,"specialty coffee shop, local cafe",,,,,,,no answer,cappuccino,no answer,no - just black,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,caramalized,medium,light,full caffeine,,,,,no answer,,,,no answer,,,,no answer,,,,no answer,coffee a,coffee a,coffee a,i primarily work from home,$40-$60,it tastes good,,,,,,no answer,yes,yes,$6-$8,$10-$15,yes,$300-$500,yes,male,no answer,living with a partner,"$150,000 or more",less than high school,white/caucasian,no answer,employed full-time,none,democrat
3003,8dj9xl,bx9xve,10/22/23 16:22,18-24 years old,28681,2,"at a cafe, at home",,,,,,"pour over, espresso",,,,,,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,regular drip coffee,no answer,no - just black,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,fruity,somewhat strong,light,full caffeine,,,,,no answer,,,,no answer,,,,no answer,,,,no answer,coffee a,coffee a,coffee a,i primarily work from home,$40-$60,"it tastes good, i need the caffeine, i need the ritual",,,,,,no answer,yes,yes,$10-$15,more than $20,yes,$500-$1000,yes,male,no answer,single,"under $25,000",bachelor's degree,white/caucasian,no answer,employed part-time,none,no affiliation
3004,rl0xko,a2l2db,10/22/23 16:22,25-34 years old,27529,1,"at home, at a cafe",,,,,,"espresso, pour over",,,,,,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,cortado,no answer,"no - just black, milk, dairy alternative, or coffee creamer, flavor syrup",,,,,,no answer,whole milk,,,,,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,juicy,medium,light,full caffeine,,,,,"plum, blueberry, lemongrass",,,,"wood, walnut, molasses ",,,,"apricot, jasmine, tea-like",,,,"lemon starburst, pear, melon",coffee a,coffee d,coffee d,i primarily work in person,$20-$40,"i need the ritual, it tastes good",,,,,,no answer,yes,yes,$8-$10,$8-$10,no,$500-$1000,yes,male,no answer,single,"under $25,000",master's degree,white/caucasian,no answer,employed part-time,none,democrat
3005,wae4vv,xj6jb5,10/22/23 16:23,55-64 years old,60069,3,"at the office, at home",,,,,,"espresso, pour over",,,,,,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,other,flat white,"no - just black, milk, dairy alternative, or coffee creamer",,,,,,no answer,half and half,,,,,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,chocolatey,somewhat strong,medium,full caffeine,,,,,no answer,,,,no answer,,,,no answer,,,,no answer,coffee c,coffee d,coffee c,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer
3006,oajrqk,19b9o4,10/22/23 16:23,18-24 years old,98070,2,at home,,,,,,"espresso, cold brew",,,,,,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,americano,no answer,"other, no - just black",,,,,,"usualy vanilla exctract, sometimes a bit of salt",no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,bold,very strong,dark,full caffeine,,,,,i agreed with your analysis ,,,,i agreed with your analysis,,,,i agreed with your analysis,,,,i agreed with your analysis,coffee c,coffee a,coffee c,i primarily work from home,<$20,"it tastes good, i need the caffeine, i need the ritual, it makes me go to the bathroom",,,,,,no answer,yes,yes,$4-$6,$4-$6,no,$50-$100,yes,female,no answer,single,no answer,high school graduate,white/caucasian,no answer,unemployed,none,no affiliation
3007,g5qboj,z7b7vg,10/22/23 16:24,18-24 years old,15601,1,"at home, at a cafe",,,,,,pour over,,,,,,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,cortado,no answer,no - just black,,,,,,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,fruity,very strong,light,full caffeine,,,,,raspberry taste,,,,nutty,,,,vegetable,,,,fermented fruits,coffee a,coffee d,coffee d,i primarily work in person,>$100,"it tastes good, i need the ritual",,,,,,no answer,yes,yes,$8-$10,more than $20,yes,$100-$300,yes,male,no answer,single,"$75,000 - $99,999",some college or associate's degree,white/caucasian,no answer,student,none,republican
